year,month,rank,net_worth,full_name,age,gender,country_of_citizenship,city_of_residence,business_category,self_made,wealth_status
2017,3,24,27.2 ,Beate Heister & Karl Albrecht Jr.,65.0,,Germany,,Fashion & Retail,False,Increased
2017,3,24,27.2 ,David Thomson & family,59.0,Male,Canada,Toronto,Media & Entertainment,False,Increased
2017,3,26,27.0 ,Jacqueline Mars,77.0,Female,United States,The Plains,Food and Beverage,False,Increased
2017,3,26,27.0 ,John Mars,81.0,Male,United States,Jackson,Food and Beverage,False,Increased
2017,3,28,26.2 ,Phil Knight & family,79.0,Male,United States,Hillsboro,Fashion & Retail,True,Increased
2017,3,29,25.2 ,Maria Franca Fissolo,82.0,Female,Italy,Monaco,Food and Beverage,False,Increased
2017,3,29,25.2 ,George Soros,86.0,Male,United States,Katonah,Finance and Investments,True,Increased
2017,3,31,24.9 ,Ma Huateng,45.0,Male,China,Shenzhen,Technology,True,Increased
2017,3,32,24.4 ,Lee Shau Kee,89.0,Male,Hong Kong,Hong Kong,Real Estate,True,Increased
2017,3,33,23.2 ,Mukesh Ambani,59.0,Male,India,Mumbai,Energy,False,Increased
2017,3,34,21.2 ,Masayoshi Son,59.0,Male,Japan,Tokyo,Telecom,True,Increased
2017,3,35,21.1 ,Kjeld Kirk Kristiansen,69.0,Male,Denmark,Billund,Manufacturing,False,Increased
2017,3,36,20.7 ,Georg Schaeffler,52.0,Male,Germany,Herzogenaurach,Automotive,False,Increased
2017,3,37,20.5 ,Joseph Safra,78.0,Male,Brazil,Sao Paulo,Finance and Investments,True,Increased
2017,3,38,20.4 ,Michael Dell,52.0,Male,United States,Austin,Technology,True,Increased
2017,3,38,20.4 ,Susanne Klatten,54.0,Female,Germany,Bad Homburg,Automotive,False,Increased
2017,3,40,20.0 ,Len Blavatnik,59.0,Male,United States,London,Diversified,True,Increased
2017,3,40,20.0 ,Laurene Powell Jobs & family,53.0,Female,United States,Palo Alto,,False,Increased
2017,3,42,19.9 ,Paul Allen,64.0,Male,United States,Mercer Island,Technology,True,Increased
2017,3,43,19.6 ,Stefan Persson,69.0,Male,Sweden,Stockholm,Fashion & Retail,False,Decreased
2017,3,44,18.8 ,"Theo Albrecht, Jr. & family",66.0,Male,Germany,Mulheim an der Ruhr,Fashion & Retail,False,Decreased
2017,3,45,18.7 ,Prince Alwaleed Bin Talal Alsaud,62.0,Male,Saudi Arabia,Riyadh,Finance and Investments,True,Increased
2017,3,46,18.4 ,Leonid Mikhelson,61.0,Male,Russia,Moscow,Energy,True,Increased
2017,3,47,18.3 ,Charles Ergen,64.0,Male,United States,Denver,Media & Entertainment,True,Increased
2017,3,47,18.3 ,Stefan Quandt,50.0,Male,Germany,Frankfurt,Automotive,False,Increased
2017,3,49,18.0 ,James Simons,78.0,Male,United States,East Setauket,Finance and Investments,True,Increased
2017,3,50,17.9 ,Leonardo Del Vecchio & family,81.0,Male,Italy,Milan,Fashion & Retail,True,Decreased
2017,3,51,17.5 ,Alexey Mordashov,51.0,Male,Russia,Moscow,Metals & Mining,True,Increased
2017,3,52,17.3 ,William Ding,45.0,Male,China,Guangzhou,Technology,True,Increased
2017,3,53,17.0 ,Dieter Schwarz,77.0,Male,Germany,Neckarsulm,Fashion & Retail,False,Increased
2017,3,54,16.8 ,Ray Dalio,67.0,Male,United States,Greenwich,Finance and Investments,True,Increased
2017,3,55,16.6 ,Carl Icahn,81.0,Male,United States,New York,Finance and Investments,True,Decreased
2017,3,56,16.4 ,Lakshmi Mittal,66.0,Male,India,London,Metals & Mining,False,Increased
2017,3,57,16.1 ,Serge Dassault & family,91.0,Male,France,Paris,Diversified,False,Increased
2017,3,57,16.1 ,Vladimir Lisin,60.0,Male,Russia,Moscow,Metals & Mining,True,Increased
2017,3,59,16.0 ,Gennady Timchenko,64.0,Male,Russia,Geneva,Energy,True,Increased
2017,3,60,15.9 ,Wang Wei,47.0,Male,China,Shenzhen,Service,True,Increased
2017,3,60,15.9 ,Tadashi Yanai & family,68.0,Male,Japan,Tokyo,Fashion & Retail,True,Increased
2017,3,62,15.8 ,Charoen Sirivadhanabhakdi,72.0,Male,Thailand,Bangkok,Food and Beverage,True,Increased
2017,3,63,15.7 ,François Pinault & family,80.0,Male,France,Paris,Fashion & Retail,True,Increased
2017,3,64,15.4 ,Hinduja family,,Male,United Kingdom,London,Diversified,False,Increased
2017,3,65,15.3 ,David Reuben,,Male,United Kingdom,London,Real Estate,True,Increased
2017,3,66,15.2 ,Donald Bren,84.0,Male,United States,Newport Beach,Real Estate,True,Increased
2017,3,66,15.2 ,Alisher Usmanov,63.0,Male,Russia,Moscow,Metals & Mining,True,Increased
2017,3,68,15.1 ,Lee Kun-Hee,75.0,Male,South Korea,Seoul,Diversified,False,Increased
2017,3,69,15.0 ,Thomas & Raymond Kwok,,Male,Hong Kong,Hong Kong,Real Estate,False,Increased
2017,3,69,15.0 ,Joseph Lau,65.0,Male,Hong Kong,Hong Kong,Real Estate,True,Increased
2017,3,69,15.0 ,Gina Rinehart,63.0,Female,Australia,Perth,Metals & Mining,False,Increased
2017,3,72,14.9 ,Azim Premji,71.0,Male,India,Bangalore,Technology,False,Decreased
2017,3,73,14.8 ,Marcel Herrmann Telles,67.0,Male,Brazil,Sao Paulo,Food and Beverage,True,Increased
2017,3,74,14.5 ,Vagit Alekperov,66.0,Male,Russia,Moscow,Energy,True,Increased
2017,3,75,14.4 ,Mikhail Fridman,52.0,Male,Russia,London,Energy,True,Increased
2017,3,75,14.4 ,Abigail Johnson,55.0,Female,United States,Milton,Finance and Investments,False,Increased
2017,3,77,14.3 ,Pallonji Mistry,87.0,Male,Ireland,Mumbai,Construction & Engineering,False,Increased
2017,3,77,14.3 ,Vladimir Potanin,56.0,Male,Russia,Moscow,Metals & Mining,True,Increased
2017,3,79,14.0 ,Wang Wenyin,49.0,Male,China,Shenzhen,Metals & Mining,True,Increased
2017,3,80,13.9 ,Elon Musk,45.0,Male,United States,Los Angeles,Automotive,True,Increased
2017,3,80,13.9 ,Stefano Pessina,75.0,Male,Italy,Monte Carlo,Fashion & Retail,False,Increased
2017,3,82,13.8 ,German Larrea Mota Velasco & family,63.0,Male,Mexico,Mexico City,Metals & Mining,False,Increased
2017,3,82,13.8 ,Thomas Peterffy,72.0,Male,United States,Palm Beach,Finance and Investments,True,Increased
2017,3,84,13.7 ,Iris Fontbona & family,74.0,Female,Chile,Santiago,Metals & Mining,False,Increased
2017,3,84,13.7 ,Dilip Shanghvi,61.0,Male,India,Mumbai,Healthcare,True,Decreased
2017,3,86,13.4 ,Dietrich Mateschitz,72.0,Male,Austria,Fuschl am See,Food and Beverage,True,Increased
2017,3,87,13.3 ,Harold Hamm & family,71.0,Male,United States,Oklahoma City,Energy,True,Increased
2017,3,87,13.3 ,Robin Li,48.0,Male,China,Beijing,Technology,True,Increased
2017,3,89,13.2 ,Andrey Melnichenko,45.0,Male,Russia,Moscow,Energy,True,Increased
2017,3,90,13.1 ,Rupert Murdoch & family,86.0,Male,United States,New York,Media & Entertainment,True,Increased
2017,3,90,13.1 ,Heinz Hermann Thiele & family,75.0,Male,Germany,Munich,Construction & Engineering,True,Increased
2017,3,92,13.0 ,Steve Cohen,60.0,Male,United States,Greenwich,Finance and Investments,True,Increased
2017,3,92,13.0 ,Patrick Drahi,53.0,Male,France,Zermatt,Telecom,True,Increased
2017,3,94,12.7 ,Henry Sy,92.0,Male,Philippines,Manila,Diversified,True,Decreased
2017,3,95,12.6 ,Charlene de Carvalho-Heineken & family,62.0,Female,Netherlands,London,Food and Beverage,False,Increased
2017,3,96,12.5 ,Philip Anschutz,77.0,Male,United States,Denver,Finance and Investments,False,Increased
2017,3,96,12.5 ,Ronald Perelman,74.0,Male,United States,New York,Finance and Investments,True,Increased
2017,3,96,12.5 ,Hans Rausing & family,90.0,Male,Sweden,Wadhurst,Manufacturing,False,Remained Even
2017,3,96,12.5 ,Carlos Alberto Sicupira & family,69.0,Male,Brazil,St. Gallen,Food and Beverage,True,Increased
2017,3,100,12.4 ,Klaus-Michael Kuehne,79.0,Male,Germany,Schindellegi,Logistics,False,Increased
2017,3,100,12.4 ,Viktor Vekselberg,59.0,Male,Russia,Moscow,Energy,True,Increased
2017,3,102,12.3 ,He Xiangjian,74.0,Male,China,Foshan,Manufacturing,True,Increased
2017,3,102,12.3 ,Shiv Nadar,71.0,Male,India,Delhi,Technology,True,Increased
2017,3,102,12.3 ,Takemitsu Takizaki,71.0,Male,Japan,Osaka,Manufacturing,True,Increased
2017,3,105,12.2 ,Aliko Dangote,59.0,Male,Nigeria,Lagos,Manufacturing,True,Decreased
2017,3,105,12.2 ,Petr Kellner,52.0,Male,Czech Republic,Vrane nad Vltavou,Finance and Investments,True,Increased
2017,3,105,12.2 ,Jim Kennedy,69.0,Male,United States,Atlanta,Media & Entertainment,False,Increased
2017,3,105,12.2 ,Blair Parry-Okeden,66.0,Female,United States,Scone,Media & Entertainment,False,Increased
2017,3,109,12.1 ,Lui Che Woo,87.0,Male,Hong Kong,Hong Kong,Gambling & Casinos,True,Increased
2017,3,109,12.1 ,Donald Newhouse,87.0,Male,United States,Somerset County,Media & Entertainment,False,Increased
2017,3,109,12.1 ,"Samuel Irving Newhouse, Jr.",89.0,Male,United States,,Media & Entertainment,False,Increased
2017,3,112,11.8 ,Stephen Schwarzman,70.0,Male,United States,New York,Finance and Investments,True,Increased
2017,3,112,11.8 ,Alain Wertheimer,68.0,Male,France,New York,Fashion & Retail,False,Increased
2017,3,112,11.8 ,Gerard Wertheimer,66.0,Male,France,New York,Fashion & Retail,False,Increased
2017,3,115,11.4 ,Robert Kuok,93.0,Male,Malaysia,Hong Kong,Diversified,True,Increased
2017,3,116,11.3 ,Emmanuel Besnier,46.0,Male,France,Laval,Food and Beverage,False,Increased
2017,3,116,11.3 ,Lukas Walton,30.0,Male,United States,Jackson,Fashion & Retail,False,Increased
2017,3,118,11.2 ,Hasso Plattner & family,73.0,Male,Germany,Heidelberg,Technology,True,Increased
2017,3,119,11.1 ,Eric Schmidt,61.0,Male,United States,Atherton,Technology,True,Increased
2017,3,120,11.0 ,Luis Carlos Sarmiento,84.0,Male,Colombia,Bogota,Finance and Investments,True,Increased
2017,3,120,11.0 ,David Tepper,59.0,Male,United States,Miami Beach,Finance and Investments,True,Decreased
2017,3,120,11.0 ,Udo & Harald Tschira,,Male,Germany,,Technology,False,Increased
2017,3,123,10.8 ,Alberto Bailleres Gonzalez & family,85.0,Male,Mexico,Mexico City,Metals & Mining,False,Increased
2017,3,124,10.7 ,Dustin Moskovitz,32.0,Male,United States,San Francisco,Technology,True,Increased
2017,3,125,10.6 ,Majid Al Futtaim & family,,Male,United Arab Emirates,Dubai,Real Estate,False,Increased
2017,3,126,10.5 ,Peter Woo,70.0,Male,Hong Kong,Hong Kong,Real Estate,False,Increased
2017,3,127,10.4 ,Andrew Beal,64.0,Male,United States,Dallas,Finance and Investments,True,Increased
2017,3,128,10.2 ,Hui Ka Yan,58.0,Male,China,Shenzhen,Real Estate,True,Increased
2017,3,128,10.2 ,"John Menard, Jr.",77.0,Male,United States,Eau Claire,Fashion & Retail,True,Increased
2017,3,130,10.0 ,Reinhold Wuerth & family,81.0,Male,Germany,Kuenzelsau,Manufacturing,True,Increased
2017,3,131,9.9 ,John Fredriksen,72.0,Male,Cyprus,London,Logistics,True,Increased
2017,3,132,9.7 ,Dhanin Chearavanont,77.0,Male,Thailand,Bangkok,Diversified,False,Increased
2017,3,133,9.5 ,Kumar Birla,49.0,Male,India,Mumbai,Diversified,False,Increased
2017,3,133,9.5 ,Graeme Hart,61.0,Male,New Zealand,Auckland,Finance and Investments,True,Increased
2017,3,133,9.5 ,Massimiliana Landini Aleotti & family,74.0,Female,Italy,Milan,Healthcare,False,Decreased
2017,3,133,9.5 ,Galen Weston & family,76.0,Male,Canada,Toronto,Fashion & Retail,False,Increased
2017,3,137,9.4 ,James Goodnight,74.0,Male,United States,Cary,Technology,True,Increased
2017,3,138,9.3 ,German Khan,55.0,Male,Russia,Moscow,Energy,True,Increased
2017,3,139,9.1 ,Roman Abramovich,50.0,Male,Russia,Moscow,Diversified,True,Increased
2017,3,140,9.0 ,R. Budi Hartono,76.0,Male,Indonesia,Kudus,Finance and Investments,False,Increased
2017,3,140,9.0 ,Dietmar Hopp & family,76.0,Male,Germany,Walldorf,Technology,True,Increased
2017,3,140,9.0 ,Jan Koum,41.0,Male,United States,Santa Clara,Technology,True,Increased
2017,3,140,9.0 ,James Ratcliffe,64.0,Male,United Kingdom,Hampshire,Manufacturing,True,Increased
2017,3,140,9.0 ,Yang Huiyan,35.0,Female,China,Foshan,Real Estate,False,Increased
2017,3,145,8.9 ,Michael Hartono,77.0,Male,Indonesia,Kudus,Manufacturing,False,Increased
2017,3,145,8.9 ,Leonard Lauder,79.0,Male,United States,New York,Fashion & Retail,False,Decreased
2017,3,145,8.9 ,Eyal Ofer,66.0,Male,Israel,Monte Carlo,Diversified,False,Increased
2017,3,145,8.9 ,Mikhail Prokhorov,51.0,Male,Russia,Moscow,Finance and Investments,True,Increased
2017,3,149,8.8 ,"Thomas Frist, Jr. & family",78.0,Male,United States,Nashville,Healthcare,True,Increased
2017,3,150,8.7 ,Robert & Philip Ng,,Male,Singapore,Singapore,Real Estate,False,Increased
2017,3,151,8.6 ,Ernesto Bertarelli,51.0,Male,Switzerland,Gstaad,Healthcare,False,Remained Even
2017,3,151,8.6 ,Patrick Soon-Shiong,64.0,Male,United States,Los Angeles,Healthcare,True,Decreased
2017,3,153,8.5 ,Harry Triguboff,84.0,Male,Australia,Sydney,Real Estate,True,Increased
2017,3,154,8.4 ,Yao Zhenhua,47.0,Male,China,Shenzhen,Diversified,True,Increased
2017,3,154,8.4 ,Zhang Zhidong,45.0,Male,China,Shenzhen,Technology,True,Increased
2017,3,156,8.3 ,Viktor Rashnikov,68.0,Male,Russia,Magnitogorsk,Manufacturing,True,Increased
2017,3,156,8.3 ,Charles Schwab,79.0,Male,United States,,Finance and Investments,True,Increased
2017,3,158,8.2 ,Shahid Khan,66.0,Male,United States,Naples,Automotive,True,Increased
2017,3,159,8.1 ,Mohammed Al Amoudi,70.0,Male,Saudi Arabia,Jeddah,Energy,True,Decreased
2017,3,159,8.1 ,Micky Arison,67.0,Male,United States,Bal Harbour,Service,False,Increased
2017,3,159,8.1 ,James Chambers,59.0,Male,United States,Palisades,Media & Entertainment,False,Increased
2017,3,159,8.1 ,Xavier Niel,49.0,Male,France,Paris,Telecom,True,Decreased
2017,3,159,8.1 ,Cyrus Poonawalla,75.0,Male,India,Pune,Healthcare,False,Decreased
2017,3,159,8.1 ,Katharine Rayner,72.0,Female,United States,East Hampton,Media & Entertainment,False,Increased
2017,3,159,8.1 ,Margaretta Taylor,74.0,Female,United States,Southampton,Media & Entertainment,False,Increased
2017,3,166,8.0 ,Ken Griffin,48.0,Male,United States,Chicago,Finance and Investments,True,Increased
2017,3,166,8.0 ,"Herbert Kohler, Jr. & family",78.0,Male,United States,Kohler,Manufacturing,False,Increased
2017,3,166,8.0 ,Uday Kotak,57.0,Male,India,Mumbai,Finance and Investments,True,Increased
2017,3,166,8.0 ,Pierre Omidyar,49.0,Male,United States,Honolulu,Technology,True,Increased
2017,3,170,7.9 ,George Kaiser,74.0,Male,United States,Tulsa,Energy,False,Increased
2017,3,170,7.9 ,John Paulson,61.0,Male,United States,New York,Finance and Investments,True,Decreased
2017,3,170,7.9 ,Eduardo Saverin,34.0,Male,Brazil,Singapore,Technology,True,Increased
2017,3,173,7.8 ,"Edward Johnson, III.",86.0,Male,United States,Boston,Finance and Investments,False,Increased
2017,3,174,7.7 ,Eli Broad,83.0,Male,United States,Los Angeles,Finance and Investments,True,Increased
2017,3,174,7.7 ,Heinrich Deichmann & family,54.0,Male,Germany,Essen,Fashion & Retail,False,Increased
2017,3,174,7.7 ,Liu Qiangdong,42.0,Male,China,Beijing,Technology,True,Increased
2017,3,174,7.7 ,John Malone,76.0,Male,United States,Elizabeth,Media & Entertainment,True,Increased
2017,3,174,7.7 ,Michael Otto & family,73.0,Male,Germany,Hamburg,Fashion & Retail,False,Decreased
2017,3,179,7.6 ,Walter P.J. Droege,64.0,Male,Germany,Dusseldorf,Service,True,Increased
2017,3,179,7.6 ,James Irving,88.0,Male,Canada,Saint John,Diversified,False,Increased
2017,3,179,7.6 ,Aloys Wobben,65.0,Male,Germany,Aurich,Energy,True,Increased
2017,3,182,7.5 ,Gianluigi & Rafaela Aponte,76.0,,Switzerland,Geneva,Logistics,True,Decreased
2017,3,182,7.5 ,Terry Gou,66.0,Male,Taiwan,Taipei,Technology,True,Increased
2017,3,182,7.5 ,Stanley Kroenke,69.0,Male,United States,Columbia,Sports,True,Decreased
2017,3,182,7.5 ,Sunil Mittal & family,59.0,Male,India,Delhi,Telecom,True,Increased
2017,3,186,7.4 ,Carl Cook,54.0,Male,United States,Bloomington,Healthcare,False,Increased
2017,3,186,7.4 ,Stephen Ross,76.0,Male,United States,New York,Real Estate,True,Decreased
2017,3,186,7.4 ,August von Finck,87.0,Male,Germany,Thurgau,Finance and Investments,False,Decreased
2017,3,186,7.4 ,Zhou Qunfei,47.0,Female,Hong Kong,Hong Kong,Technology,True,Increased
2017,3,190,7.3 ,David Geffen,74.0,Male,United States,Malibu,Media & Entertainment,True,Increased
2017,3,190,7.3 ,Walter Kwok,66.0,Male,Hong Kong,Hong Kong,Real Estate,False,Increased
2017,3,190,7.3 ,Gordon Moore,88.0,Male,United States,Woodside,Technology,True,Increased
2017,3,190,7.3 ,Dmitry Rybolovlev,50.0,Male,Russia,Monaco,Manufacturing,True,Decreased
2017,3,194,7.2 ,Johann Graf,70.0,Male,Austria,Vienna,Gambling & Casinos,True,Decreased
2017,3,194,7.2 ,Richard Kinder,72.0,Male,United States,Houston,Energy,True,Increased
2017,3,194,7.2 ,Alexei Kuzmichev,54.0,Male,Russia,London,Energy,True,Increased
2017,3,194,7.2 ,Hank & Doug Meijer,,Male,United States,Grand Rapids,Fashion & Retail,False,Decreased
2017,3,194,7.2 ,Zong Qinghou,71.0,Male,China,Hangzhou,Food and Beverage,True,Increased
2017,3,199,7.0 ,Silvio Berlusconi & family,80.0,Male,Italy,Milan,Diversified,True,Increased
2017,3,199,7.0 ,Nicky Oppenheimer & family,71.0,Male,South Africa,Johannesburg,Metals & Mining,False,Increased
2017,3,201,6.9 ,Andrei Skoch,51.0,Male,Russia,Moscow,Metals & Mining,True,Increased
2017,3,202,6.8 ,Abdulla bin Ahmad Al Ghurair & family,,Male,United Arab Emirates,Dubai,Diversified,False,Increased
2017,3,202,6.8 ,Sergei Galitsky,49.0,Male,Russia,Krasnodar,Fashion & Retail,True,Increased
2017,3,202,6.8 ,Pauline MacMillan Keinath,83.0,Female,United States,St. Louis,Food and Beverage,False,Increased
2017,3,202,6.8 ,Lei Jun,47.0,Male,China,Beijing,Technology,True,Decreased
2017,3,202,6.8 ,Frederik Paulsen,66.0,Male,Sweden,Lausanne,Healthcare,False,Increased
2017,3,202,6.8 ,Quek Leng Chan,75.0,Male,Malaysia,Kuala Lumpur,Diversified,False,Increased
2017,3,202,6.8 ,Melker Schorling,69.0,Male,Sweden,Stockholm,Finance and Investments,True,Increased
2017,3,209,6.7 ,David Duffield,76.0,Male,United States,Incline Village,Technology,True,Increased
2017,3,209,6.7 ,Michael Kadoorie,75.0,Male,Hong Kong,Hong Kong,Energy,False,Increased
2017,3,209,6.7 ,Li Shufu,53.0,Male,China,Hangzhou,Automotive,True,Increased
2017,3,209,6.7 ,Sandra Ortega Mera,48.0,Female,Spain,La Coruna,Fashion & Retail,False,Increased
2017,3,209,6.7 ,Suh Kyung-Bae,54.0,Male,South Korea,Seoul,Fashion & Retail,False,Decreased
2017,3,209,6.7 ,Zhang Shiping & family,70.0,Male,China,Binzhou,Metals & Mining,True,Increased
2017,3,215,6.6 ,Giorgio Armani,82.0,Male,Italy,Milan,Fashion & Retail,True,Increased
2017,3,215,6.6 ,John Grayken,60.0,Male,Ireland,London,Finance and Investments,True,Increased
2017,3,215,6.6 ,Liu Yongxing,68.0,Male,China,Shanghai,Service,True,Increased
2017,3,215,6.6 ,Xu Shihui & family,59.0,Male,China,Quanzhou,Food and Beverage,True,Increased
2017,3,219,6.5 ,Goh Cheng Liang,89.0,Male,Singapore,Singapore,Manufacturing,True,Increased
2017,3,219,6.5 ,Bruce Halle,86.0,Male,United States,Paradise Valley,Automotive,True,Increased
2017,3,219,6.5 ,Ananda Krishnan,78.0,Male,Malaysia,Kuala Lumpur,Telecom,True,Decreased
2017,3,219,6.5 ,Richard LeFrak & family,71.0,Male,United States,New York,Real Estate,False,Increased
2017,3,219,6.5 ,Iskander Makhmudov,53.0,Male,Russia,Moscow,Metals & Mining,True,Increased
2017,3,224,6.4 ,John A. Sobrato & family,77.0,Male,United States,Atherton,Real Estate,True,Increased
2017,3,224,6.4 ,Les Wexner & family,79.0,Male,United States,New Albany,Fashion & Retail,True,Decreased
2017,3,226,6.3 ,Garrett Camp,38.0,Male,Canada,San Francisco,Technology,True,Increased
2017,3,226,6.3 ,Leonid Fedun,60.0,Male,Russia,Moscow,Energy,True,Increased
2017,3,226,6.3 ,Guo Guangchang,50.0,Male,China,Shanghai,Diversified,True,Increased
2017,3,226,6.3 ,Mikhail Gutseriev,59.0,Male,Russia,Moscow,Energy,True,Increased
2017,3,226,6.3 ,Travis Kalanick,40.0,Male,United States,San Francisco,Technology,True,Increased
2017,3,226,6.3 ,Suleiman Kerimov,51.0,Male,Russia,Moscow,Finance and Investments,True,Increased
2017,3,226,6.3 ,Carrie Perrodo & family,66.0,Female,France,London,Energy,False,Increased
2017,3,226,6.3 ,Anders Holch Povlsen,44.0,Male,Denmark,Aarhus,Fashion & Retail,False,Increased
2017,3,234,6.2 ,David Green & family,75.0,Male,United States,Oklahoma City,Fashion & Retail,True,Increased
2017,3,234,6.2 ,Robert Rowling,63.0,Male,United States,Dallas,Energy,False,Increased
2017,3,234,6.2 ,Tsai Eng-Meng & family,60.0,Male,Taiwan,Shanghai,Food and Beverage,False,Increased
2017,3,237,6.1 ,Jorn Rausing,57.0,Male,Sweden,Surrey,Food and Beverage,False,Increased
2017,3,237,6.1 ,Johann Rupert & family,66.0,Male,South Africa,Cape Town,Fashion & Retail,False,Increased
2017,3,239,6.0 ,Marian Ilitch,84.0,Female,United States,Bingham Farms,Food and Beverage,True,Increased
2017,3,239,6.0 ,Ann Walton Kroenke,68.0,Female,United States,Columbia,Fashion & Retail,False,Increased
2017,3,239,6.0 ,Jay Y. Lee,48.0,Male,South Korea,Seoul,Diversified,False,Remained Even
2017,3,239,6.0 ,Pan Zhengmin & family,47.0,Male,China,Shenzhen,Technology,True,Increased
2017,3,239,6.0 ,Finn Rausing,62.0,Male,Sweden,London,Food and Beverage,False,Increased
2017,3,239,6.0 ,Kirsten Rausing,64.0,Female,Sweden,Newmarket,Food and Beverage,False,Increased
2017,3,239,6.0 ,Dennis Washington,82.0,Male,United States,Missoula,Logistics,True,Increased
2017,3,239,6.0 ,Xu Chuanhua & family,82.0,Male,China,Hangzhou,Manufacturing,True,Increased
2017,3,247,5.9 ,Francis Choi,69.0,Male,Hong Kong,Hong Kong,Real Estate,True,Increased
2017,3,247,5.9 ,Erivan Haub & family,84.0,Male,Germany,,Fashion & Retail,False,Increased
2017,3,247,5.9 ,Wei Jianjun & family,53.0,Male,China,Baoding,Automotive,True,Increased
2017,3,250,5.8 ,Gautam Adani,54.0,Male,India,Ahmedabad,Diversified,True,Increased
2017,3,250,5.8 ,Mike Adenuga,63.0,Male,Nigeria,Lagos,Diversified,True,Decreased
2017,3,250,5.8 ,Maria Asuncion Aramburuzabala & family,53.0,Female,Mexico,Mexico City,Food and Beverage,False,Increased
2017,3,250,5.8 ,Daniel Gilbert,55.0,Male,United States,Franklin,Finance and Investments,True,Increased
2017,3,250,5.8 ,"John Gokongwei, Jr.",90.0,Male,Philippines,Manila,Diversified,False,Increased
2017,3,250,5.8 ,Gong Hongjia & family,52.0,Male,Hong Kong,Hong Kong,Finance and Investments,True,Increased
2017,3,250,5.8 ,Charles Johnson,84.0,Male,United States,Palm Beach,Finance and Investments,False,Increased
2017,3,250,5.8 ,Ian & Richard Livingstone,,Male,United Kingdom,London,Real Estate,True,Increased
2017,3,250,5.8 ,Hiroshi Mikitani,52.0,Male,Japan,Tokyo,Fashion & Retail,True,Increased
2017,3,250,5.8 ,Augusto & Giorgio Perfetti,,Male,Italy,Lugano,Food and Beverage,False,Increased
2017,3,250,5.8 ,Joseph Tsai,53.0,Male,Canada,Hong Kong,Technology,True,Increased
2017,3,261,5.7 ,Dannine Avara,53.0,Female,United States,Houston,Energy,False,Increased
2017,3,261,5.7 ,Scott Duncan,34.0,Male,United States,Houston,Energy,False,Increased
2017,3,261,5.7 ,Andrew Forrest,55.0,Male,Australia,Perth,Metals & Mining,True,Increased
2017,3,261,5.7 ,Milane Frantz,47.0,Female,United States,Houston,Energy,False,Increased
2017,3,261,5.7 ,Lu Guanqiu & family,72.0,Male,China,,Diversified,True,Remained Even
2017,3,261,5.7 ,Ludwig Merckle,52.0,Male,Germany,Ulm,Finance and Investments,False,Increased
2017,3,261,5.7 ,Randa Williams,55.0,Female,United States,Houston,Energy,False,Increased
2017,3,261,5.7 ,Yan Zhi,44.0,Male,China,Wuhan,Real Estate,True,Increased
